Regime,Annual Return,Annual Volatility,Sharpe,Max Drawdown,Observations
HIGH,0.01576675187338017,0.04559058024464919,0.3458334667038152,-0.0674728923911202,919
LOW,0.11547028316112029,0.1666206867036086,0.6930128456161921,-0.1630674621743734,942
MEDIUM,0.0723098308689567,0.12534203126730922,0.5769000579362354,-0.13520262226403812,773
