Metric,Baseline,Regime-Aware
Annual Return,0.1262005590351163,0.1211572192329977
Annual Volatility,0.1611026228276495,0.1718307043655101
Max Drawdown,-0.3911600112433713,-0.4088366687148198
Sharpe Ratio,0.7833550378417955,0.7050964065439305
